0.3000,7.2250
0.8250,9.7500
-1.6500,7.4500
9.5474,1.0474
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
9.6704,0.9222
0.8250,9.7500
-0.8000,7.3667
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
0.4000,7.2000
0.8000,9.8000
-1.5000,7.3000
0.4000,7.2000
0.8000,9.8000
-1.5000,7.3000
0.4000,7.2000
0.8000,9.8000
-1.5000,7.3000
0.4000,7.2000
0.8000,9.8000
-1.5000,7.3000
0.4000,7.2000
0.8000,9.8000
-1.5000,7.3000
0.4000,7.2000
0.8000,9.8000
-1.5000,7.3000
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
9.4370,1.1630
0.8200,9.7600
-0.6500,7.3200
9.5474,1.0474
0.8250,9.7500
-0.6750,7.3375
9.4370,1.1630
0.8250,9.7500
-0.6750,7.3375
